Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2020-02-25,56.599998474121094,57.106666564941406,52.46666717529297,53.32733154296875,53.32733154296875,259357500,-3.09,-0.1,-0.68,0.006,55.58599853515625,-0.04063373964144892,51.549899673461915,43.88385158114963,54.46857070554941,49.29273950862268,5.17583119692673,58.03009421221847,-2.25052,3.880000114440918,32.37854766845703,134.49000549316406,6.777048110961914,158.7396240234375
2020-02-26,52.16666793823242,54.22066879272461,51.740665435791016,51.91999816894531,51.91999816894531,211282500,-0.52,-0.38,-1.2,0.006,53.32733154296875,-0.026390470576789914,52.256233024597165,44.10104473217113,54.07648262299493,49.48735126123917,4.589131361755761,55.17019989500956,-2.46975,4.400000095367432,31.067358016967773,134.02999877929688,6.472662925720215,157.29820251464844
2020-02-27,48.66666793823242,49.31800079345703,44.599998474121094,45.266666412353516,45.266666412353516,364158000,-4.22,0.78,0.05,0.006,51.91999816894531,-0.12814583958462705,52.582933044433595,44.13171898691278,52.72112628289625,49.17470793909949,3.546418343796759,44.10393779819414,-2.69952,4.340000152587891,31.311981201171875,135.1300048828125,6.454758167266846,155.7301788330078
2020-02-28,41.97999954223633,46.03466796875,40.768001556396484,44.53266525268555,44.53266525268555,363343500,-0.78,0.3,-0.8,0.006,45.266666412353516,-0.016215047800994153,52.67353286743164,44.14199966039413,51.46136304747922,48.830852925291055,2.630510122188163,43.07736956582836,-2.93988,4.139999866485596,30.04971694946289,131.39999389648438,6.239896774291992,152.01954650878906
2020-03-02,47.41733169555664,49.5793342590332,45.77799987792969,49.574668884277344,49.574668884277344,302925000,4.31,-1.69,-0.43,0.006,44.53266525268555,0.11322034293215222,52.98369960784912,44.27781639099121,51.17110240698663,48.88595040373448,2.2851520032521435,51.43897039925512,-3.7785,4.130000114440918,29.844234466552734,130.75,6.230945110321045,153.63626098632812
2020-03-03,53.66666793823242,53.798667907714844,47.740665435791016,49.70066833496094,49.70066833496094,386760000,-2.79,0.8,-0.63,0.006,49.574668884277344,0.002541609525980205,52.86873302459717,44.41008107255145,50.944881780521136,48.94629988012163,1.9985819003995076,51.63018852017463,-4.1684,4.110000133514404,30.74445343017578,132.7100067138672,6.445805549621582,157.0060272216797
2020-03-04,50.930667877197266,51.10133361816406,48.31533432006836,49.96666717529297,49.96666717529297,225735000,4.03,-1.08,-1.17,0.006,49.70066833496094,0.005352017372066599,52.41019973754883,44.54238074166434,50.79438722587065,49.021882642726915,1.7725045831437356,52.05936970504232,-4.62254,4.059999942779541,29.86380386352539,130.9499969482422,6.239896774291992,152.64285278320312
2020-03-05,48.2513313293457,49.71666717529297,47.871334075927734,48.30266571044922,48.30266571044922,162790500,-3.38,0.24,-1.4,0.006,49.96666717529297,-0.03330223044507057,52.37633304595947,44.6298292293105,50.41104545426735,48.96860731441005,1.4424381398573018,49.12300592598406,-5.14105,3.869999885559082,30.85209083557129,131.85000610351562,6.338375091552734,156.1976776123047
2020-03-06,46.0,47.133331298828125,45.61800003051758,46.89866638183594,46.89866638183594,189943500,-1.78,0.06,-1.49,0.006,48.30266571044922,-0.029066704869448994,52.22473297119141,44.68139371004972,49.870679443124054,48.815278356441596,1.0554010866824584,46.728107890358196,-5.7241,3.7200000286102295,29.8121280670166,129.1999969482422,6.033989429473877,150.16909790039062
2020-03-09,40.35933303833008,44.20000076293945,40.33333206176758,40.53333282470703,40.53333282470703,256105500,-7.78,-0.38,-4.76,0.006,46.89866638183594,-0.13572525720249964,51.75783290863037,44.58921457926432,48.4341645787522,48.201800909646444,0.23236366910575867,37.74376592996094,-7.85981,3.549999952316284,28.41561508178711,127.11000061035156,5.810176849365234,148.21148681640625
